ticker,RC,Corr. RC,Inh. RC,iVol,Risk Contribution,MDD
C 1 Comdty,0.29177520238293264,0.03480374440309033,0.25697145797984233,0.29177520238293264,0.29177520238293264,-94.99104484693208
CL1 Comdty,0.5771508583660274,0.3461994629106385,0.2309513954553889,0.5771508583660274,0.5771508583660274,-98.34915881958946
NG1 Comdty,0.29154305110244666,-0.2916489809702448,0.5831920320726914,0.29154305110244666,0.29154305110244666,-99.9739343298499
CF1 Index,0.7407763731078263,-0.17180584017955638,0.9125822132873826,0.7407763731078263,0.7407763731078263,-67.19151530990032
ES1 Index,-0.25673638781696523,-0.33691257220500404,0.0801761843880388,-0.25673638781696523,-0.25673638781696523,-63.65495383767414
XU1 Index,0.015912737645387524,-0.20125539598506267,0.2171681336304502,0.015912737645387524,0.015912737645387524,-77.1389001422636
CADUSD Curncy,0.08005292666670481,0.05476399790729323,0.02528892875941159,0.08005292666670481,0.08005292666670481,-36.87068568798927
EURUSD Curncy,0.4080993684651128,0.26529455294696974,0.14280481551814303,0.4080993684651128,0.4080993684651128,-44.479495268139075
JPYUSD Curncy,0.36844279105970584,0.2729295766127967,0.09551321444690912,0.36844279105970584,0.36844279105970584,-53.10130421595377
RX1 Comdty,0.8669381647773107,-0.9197267052797127,1.7866648700570233,0.8669381647773107,0.8669381647773107,-25.26073890754819
TY1 Comdty,1.8054589201629445,-0.21906575847406343,2.024524678637008,1.8054589201629445,1.8054589201629445,-23.939293231416876
XM1 Comdty,0.09466836959281802,0.06061170541799037,0.03405666417482764,0.09466836959281802,0.09466836959281802,-4.271586748816953
